"Species";"Latitude";"Longitude";"Locality";"Country";"Diagnosis";"Confidence";"Reference";"Coord_Method";"Coord_Method_Name";"Issues"
"Mastomys natalensis";-25.95;30.55;"Badplass";"South Africa";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";-22.3;30.86;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-22.43;31.07;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-22.72;31.03;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-23.05;30.22;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-23.83;30.03;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-23.83;30.75;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-23.92;30.45;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-24.17;30.38;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-24.25;31.83;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-24.38;31.78;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.18;31.28;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.58;31.43;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.63;30.12;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.7;30.97;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.73;28.22;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.77;31.05;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-25.86;30.75;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-27.04;32.42;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-28.07;32.03;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-28.38;32.36;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-28.41;29.42;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-28.42;29.4333;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-26.68;28.93;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-28.85;30;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-29.47;30.38;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-29.6;30.38;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-29.6;31.02;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-29.75;31.07;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-29.87;31;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-29.92;30.98;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-33.03;26.53;"?";"South Africa";"morpho + chrom/electroph";"high";"Venturi et al. 2004";"NA";;
"Mastomys natalensis";-22.22;29.98;"Beit bridge";"South Africa";"morpho + PCR cytb";"low";"Dawood, unpublished in Genbank";"NA";;
"Mastomys natalensis";-26.2;28.0833;"Johannesburg";"South Africa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-25.1;30.45;"Lydenburg";"South Africa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-29.85;31.0167;"Port Natal";"South Africa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-32.5667;27.4167;"Stutterheim";"South Africa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";19.1667;30.4833;"Dongola";"Sudan";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-26.18;31.98;"Mlawula Natur reserve";"Swaziland";"morpho";"high";"Mahlaba 2003";"NA";;
"Mastomys natalensis";-26.13;31.13;"Malolotja Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.56;30.88;"Mangcongco primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.46;30.98;"Torgyle primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.66;30.78;"Dwalile primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.85;30.93;"Bethlechem mission";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.1;31.18;"Schonalanga Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.8;31.15;"Ekuphakameni high school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.76;31.07;"Ngcoseni primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.61;31.13;"Ncabameni primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.95;31.38;"Ebenezer primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.27;31.53;"Our Lady of Sorrows high school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.18;31.38;"Franson Christian high school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.45;31.13;"Mlilwane Game Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.48;31.96;"Mutimuti Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-25.88;31.28;"Phophonyane Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.05;31.41;"Sandleni Primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.55;31.27;"Ekundizeni";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.23;31.43;"St Florence Mission";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.86;31.32;"Nkwene high school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.45;31.45;"St Joseph Mission";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.05;31.45;"St Peregrines Mission";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.37;31.56;"Dinedor Ranch";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.4;31.51;"Mafutseni Ranch";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.02;31.65;"Maloma Primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.88;31.6;"Sithobela Primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-25.88;31.51;"Mkhumzweni Primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.03;31.58;"Sikhunyane High school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-25.96;31.71;"Tshaneni";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.27;31.8;"Ndabazezwe high school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.25;31.86;"Hlane National Park";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.61;31.73;"Mkhaya Game Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.68;31.88;"Bar Circle Ranch";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-27.08;31.95;"Mbutfu Primary school";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.15;31.98;"Umbuluzi Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.68;31.83;"Tendekwa Ranch";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.98;31.95;"Nsoko Ranch";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.76;31.9;"Mhlosinga Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-26.2;32.02;"Mlawula Nature Reserve";"Swaziland";"morpho";"high";"Monadjem 1999";"NA";;
"Mastomys natalensis";-6.18;37.12;"Berega";"Tanzania";"morpho + PCR cytb";"high";"Lecompte et al. 2005/BeBIF provider";"NA";;
"Mastomys natalensis";-7.97;33.3;"Chanombe";"Tanzania";"morpho";"high";"Odhiambo et al. 2005";"NA";;
"Mastomys natalensis";-8.53;33.41;"Chunya";"Tanzania";"morpho";"high";"Odhiambo et al. 2005";"NA";;
"Mastomys natalensis";-4.07;35.38;"Dongobesh";"Tanzania";"morpho";"high";"Makundi et al. 2008";"NA";;
"Mastomys natalensis";-6.93;31.18;"Ikuu";"Tanzania";"morpho";"high";"Caro 2001";"NA";;
"Mastomys natalensis";-10.02;38.42;"Kibutuka";"Tanzania";"morpho";"high";"Mwanjabe et al. 2002";"NA";;
"Mastomys natalensis";-3.32;37.68;"Lake Chala";"Tanzania";"morpho";"high";"Mulungu et al. 2008";"NA";;
"Mastomys natalensis";-10.33;38.42;"Lionja";"Tanzania";"morpho";"high";"Mwanjabe et al. 2002";"NA";;
"Mastomys natalensis";-4.7;38.3;"Magamba";"Tanzania";"morpho";"high";"Makundi et al. 2005";"NA";;
"Mastomys natalensis";-6.32;37.38;"Makuyu";"Tanzania";"morpho";"high";"Makundi et al. 2005";"NA";;
"Mastomys natalensis";-4.61;38.23;"Manolo";"Tanzania";"morpho";"high";"Makundi et al. 2005";"NA";;
"Mastomys natalensis";-4.52;36.47;"Matongolo";"Tanzania";"morpho + chrom";"high";"Corti et al. 2005";"NA";;
"Mastomys natalensis";-6.77;37.9;"Mikese";"Tanzania";"morpho";"high";"Ngowo et al. 2005";"NA";;
"Mastomys natalensis";-7.1;31.07;"Mitumba";"Tanzania";"morpho";"high";"Caro 2001";"NA";;
"Mastomys natalensis";-6.72;31.12;"Mivunda";"Tanzania";"morpho";"high";"Caro 2001";"NA";;
"Mastomys natalensis";-6.83;37.63;"Morogoro";"Tanzania";"morpho";"high";"Leirs 1994, Mulingen et al. 2005";"NA";;
"Mastomys natalensis";-5.15;30.38;"Msimba";"Tanzania";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";-7.77;35.7;"Mulenge forest";"Tanzania";"morpho + PCR AP5";"high";"Steppan et al. 2005";"NA";;
"Mastomys natalensis";-9.83;39.78;"Nandagala";"Tanzania";"morpho";"high";"Mwanjabe et al. 2002";"NA";;
"Mastomys natalensis";-9.65;39.07;"Nanjirinji";"Tanzania";"morpho";"high";"Mwanjabe et al. 2002";"NA";;
"Mastomys natalensis";-10.25;38.7;"Ruponda";"Tanzania";"morpho";"high";"Mwanjabe et al. 2002";"NA";;
"Mastomys natalensis";-4.82;34.73;"Singida";"Tanzania";"morpho + chrom";"high";"Corti et al. 2005";"NA";;
"Mastomys natalensis";-4.75;38.5;"Usambara Mts";"Tanzania";"morpho + PCR AP5";"high";"Steppan et al. 2005";"NA";;
"Mastomys natalensis";-2.2667;34.85;"Banagi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8044;37.7217;"Bigwa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.9;37.6667;"Bondwa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.7333;38.55;"Chingulungulu";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.5167;33.5;"Chunya";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.4;37.6;"Dakawa";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.5667;38.2333;"Emau";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.5092;37.3988;"Falkland";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.4667;35.3833;"Gerodom";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.7167;38.2333;"Gologolo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.4333;35.4;"Hanang";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.1833;33.6833;"Ibumba";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.8167;35.1667;"Idodi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.5167;37.7167;"Jipe";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.1937;37.3598;"Kambala-Dakawa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.6667;33.1333;"Kanyelele";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.4667;31.1667;"Kasanga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.6333;35.3833;"Katesh";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8121;37.6782;"Kichangani";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.1667;37.5;"Kidege";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.6167;37.1333;"Kielezo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.4916;37.4179;"Kigurunyembe";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7699;37.6628;"Kihonda";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8222;37.6829;"Kilakala";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.5058;37.4003;"Kilimo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.7167;37.1333;"Kilombero";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8333;36.9833;"Kilossa tanganika terr";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.9376;37.5355;"Kipera-Mlali";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.5807;38.2695;"Kiranga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.3432;38.1613;"Kiranga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.1667;37.9833;"Kisiwani";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.8833;30.85;"Kisumbi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7838;37.74;"Kitungwa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8146;37.6996;"Kola hill";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.6667;39.2167;"Kunduchi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.5833;38.25;"Longoi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.6833;37.5333;"Lwami";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.9667;38.3167;"Madala";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.827;37.6809;"Madizini";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8245;37.6457;"Mafiga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7918;37.6638;"Mafisa B";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.843;37.6356;"Magadu";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.7167;38.2833;"Magamba";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.7667;34.2333;"Magangwe";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.5134;37.3944;"Maji Street";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.3833;39.5833;"Makunduchi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.3167;36.5333;"Malolo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.35;36.9167;"Mamiwa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.6;38.2333;"Manolo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.7274;38.807;"Masasi town";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.7667;36.4667;"Matongolo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7967;37.6351;"Mazimbu";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.6833;34.4167;"Mbarali";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8833;37.35;"Mbete";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.8667;31.6667;"Mbizi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.5833;38.55;"Mchonda";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.25;36.75;"Mchonda";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.05;37.5833;"Mgeta";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7667;37.9;"Mikese";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8785;37.5959;"Mindu";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8296;37.6528;"Misufini";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.7565;38.5316;"Miwale village";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8181;37.6691;"Mji mpya";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7968;37.6746;"Mjimwema";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.4305;37.379;"Mkundi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.9426;37.5331;"Mlali";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.9667;37.55;"Mlali";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.1167;39.4;"Mnara";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.6167;39.2;"Mnima";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8833;37.6667;"Morningside";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.3333;37.3333;"Moshi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8267;37.66;"Msamvu";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.5333;35.05;"Msembe";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.7507;38.5313;"Msikisi village";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7333;37.05;"Msimba";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.0667;31.9167;"Mtowisa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.6167;35.3667;"Mufindi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.9;37.4833;"Muhuwesi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.7;31.5667;"Muze";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.3333;35.8333;"Mvumi Mission";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.45;35.0833;"Mwagusi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.5167;32.9;"Mwanza";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.1333;37.3333;"Mweka";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8151;37.6686;"Mwembesongo";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.4951;37.4012;"Mwere";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.6167;34.6333;"Mweyembe";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.5833;35.4167;"Nakahuga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8021;37.685;"Nanenane";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.2333;36.5;"Ndaleta";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.4797;39.0485;"Ndanda Liputu";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.0167;33.0667;"Nditi";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.4833;37.1667;"Ngasumet";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8274;37.6317;"Ngerengere";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.7;37.6167;"Nguru ya ndege";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.6833;37.1;"Nyange";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.6333;35.45;"Peramiho village";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.0667;38.95;"Ruangwa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.4167;31.9833;"Rukwa";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.15;33.65;"Rungwe";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8252;37.6573;"Sabasaba";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.0667;37.7333;"Same";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8833;37.5333;"Sangasanga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.1833;33.65;"Suma";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.4167;32.8167;"Tabora-Inala";"Tanzania";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-7.8333;35.6667;"Tagamenda";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.8201;37.6628;"Tanesco";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.5833;35.65;"Tanga";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.7833;39.3;"Tazari";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.5123;37.3977;"Tiba Road";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.2667;36.6833;"Tpri";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.6667;38.25;"Viti";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.2242;37.2751;"Wami-";"Tanzania";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5167;1.0167;"Adina";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.85;0.7333;"Agou";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5667;0.9833;"Akposso";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.25;1.2;"Aledjo";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.2;0.7;"Apeyeme";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.6;0.6167;"Badou";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5833;0.6;"Badou - anonoe";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.2333;0.6833;"Dzogbegan";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.4833;0.9667;"Edifou";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.55;1.0333;"Evou";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";8.7;0.7833;"Fazao";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5167;1.1833;"Kamina";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.8;1.3;"Kolokope";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5167;0.9833;"Koutoukpa";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.3;0.4667;"Mango";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.95;0.5833;"Misahohe";"Togo";"morpho";"low";"BeBIF Provider";"NA";;
